Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326233,0.791779
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.515024
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326252,1.84299
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326328,0.0563526
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Default,0.535874
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Default,0.21987
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326462,0.194318
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Default,0.0670495
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0326428
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.4252
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,1.00003
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Default,1.39986
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.767897
GemmTunableOp_Half_TN,tn_336_72_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326329,0.111958
GemmTunableOp_Half_TN,tn_10240_72_320_ld_320_320_10240,Gemm_Rocblas_-1086326242,0.0511818
GemmTunableOp_Half_TN,tn_4096_72_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326251,0.136305
GemmTunableOp_Half_TN,tn_24_72_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326390,0.0233051
GemmTunableOp_Half_TN,tn_2560_72_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326318,0.0683224
GemmTunableOp_Half_TN,tn_512_72_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326318,0.0439181
GemmTunableOp_Half_TN,tn_320_72_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0423929
GemmTunableOp_Half_TN,tn_2560_72_160_ld_160_160_2560,Gemm_Rocblas_-1086326432,0.0151738
GemmTunableOp_Half_NN,nn_1_72_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.012297
GemmTunableOp_Half_TN,tn_10240_72_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.326844
GemmTunableOp_Half_TN,tn_2560_72_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326322,0.11509
GemmTunableOp_Half_TN,tn_3584_72_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326267,0.137359
GemmTunableOp_Half_TN,tn_640_72_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326323,0.0503758
GemmTunableOp_Half_TN,tn_320_72_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326318,0.115578
GemmTunableOp_Half_TN,tn_336_144_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326318,0.113385
GemmTunableOp_Half_TN,tn_10240_144_320_ld_320_320_10240,Gemm_Rocblas_-1086326233,0.0664079
GemmTunableOp_Half_TN,tn_4096_144_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326462,0.214348
GemmTunableOp_Half_TN,tn_24_144_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326401,0.0235215
GemmTunableOp_Half_TN,tn_2560_144_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326249,0.088985
GemmTunableOp_Half_TN,tn_512_144_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326317,0.0510842
GemmTunableOp_Half_TN,tn_320_144_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326318,0.0436353
GemmTunableOp_Half_TN,tn_2560_144_160_ld_160_160_2560,Gemm_Rocblas_-1086326256,0.0181578
GemmTunableOp_Half_NN,nn_1_144_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0122906
GemmTunableOp_Half_TN,tn_10240_144_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,0.549978
