Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_1152_6400_1536_ld_1536_1536_1152,Gemm_Rocblas_-1086326045,0.735155
GemmTunableOp_Half_TN,tn_864_6400_1152_ld_1152_1152_864,Gemm_Rocblas_-1086326052,0.402928
GemmStridedBatchedTunableOp_float_TN,tn_6400_6400_72_B_4_ld_288_288_6400,Gemm_Rocblas_-1086325174,1.94
GemmStridedBatchedTunableOp_float_NN,nn_72_6400_6400_B_4_ld_288_6400_72,Gemm_Rocblas_-1086327263,2.51906
GemmTunableOp_Half_TN,tn_1152_6400_288_ld_288_288_1152,Default,0.152368
GemmTunableOp_Half_TN,tn_1076_6400_1152_ld_1152_1152_1076,Gemm_Rocblas_-1086326052,0.565833
GemmTunableOp_Half_TN,tn_1152_6400_1076_ld_1076_1076_1152,Default,0.522321
GemmTunableOp_Half_TN,tn_1152_1600_4608_ld_4608_4608_1152,Gemm_Rocblas_-1086326079,0.738762
GemmTunableOp_Half_TN,tn_2560_1600_1152_ld_1152_1152_2560,Gemm_Rocblas_-1086326052,0.365925
GemmTunableOp_Half_TN,tn_336_2048_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326083,0.755393
GemmTunableOp_Half_TN,tn_10240_2048_320_ld_320_320_10240,Default,0.410224
GemmTunableOp_Half_TN,tn_4096_2048_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,1.55871
GemmTunableOp_Half_TN,tn_24_2048_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.057616
GemmTunableOp_Half_TN,tn_2560_2048_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326045,0.549086
GemmTunableOp_Half_TN,tn_512_2048_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326063,0.21364
GemmTunableOp_Half_TN,tn_320_2048_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326082,0.191432
GemmTunableOp_Half_TN,tn_2560_2048_160_ld_160_160_2560,Gemm_Rocblas_-1086326295,0.0664261
GemmTunableOp_Half_NN,nn_1_2048_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0326904
GemmTunableOp_Half_TN,tn_10240_2048_2560_ld_2560_2560_10240,Default,3.07011
GemmTunableOp_Half_TN,tn_2560_2048_2560_ld_2560_2560_2560,Default,0.874014
GemmTunableOp_Half_TN,tn_3584_2048_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326277,1.21478
GemmTunableOp_Half_TN,tn_320_2048_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.740047
GemmTunableOp_Half_TN,tn_336_876_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.359373
GemmTunableOp_Half_TN,tn_10240_876_320_ld_320_320_10240,Default,0.203108
GemmTunableOp_Half_TN,tn_4096_876_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326268,0.674377
GemmTunableOp_Half_TN,tn_24_876_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326211,0.0432167
